p01,p03,p05,p07,p09,p10,p12,p14,p15,p16,p17,p20,p21,p23,p24,p25,p27,p28,p29,p31,p32,p33,p35,p37,p38,p39,p40,p41,p42,p43,p44,p45,p47,p48,p49,p50,p53,p54,p55,p56,p57,p58,p59,p60,p61,p63,p64,p66,p67,p69,p70,p71,p72,p75,p77,p78,p79,p80,p81,p83,p85,p86,p87,p88,p89,p90,p91,p92,p95,p96,p97,p99,p100,p101,p102,p103,p105,p106,p108,p110,p111,p114,p115,p116,p119,p120,p121,p122,p123,p124,p126,p127,p128,p130,p131,p133,p134,p135,p136,p137,p138,p141,p144,p146,p148,p149,p150,class
0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,201,0,0,234,0,0,0,0,0,0,0,20,0,6,0,246,0,0,0,0,0,0,0,40,0,0,26,0,0,0,0,0,0,0,0,82,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,160,0,0,197,0,0,1
0,0,245,0,0,0,207,54,0,0,0,0,0,0,0,0,204,0,0,0,253,0,0,119,253,253,239,0,0,0,0,0,0,0,89,0,253,0,0,0,0,0,0,0,0,0,203,0,128,0,253,0,0,0,0,0,0,0,229,0,0,0,0,0,253,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,133,0,0,253,0,253,76,0,0,0,0,0,0,0,0,0,240,0,0,248,0,0,253,0,0,0
0,0,234,45,0,10,253,176,0,0,0,0,0,0,253,0,130,0,0,0,0,0,253,179,253,0,0,0,0,0,0,0,0,0,253,0,226,0,0,140,0,0,0,0,0,0,46,80,253,0,199,0,0,0,0,0,0,0,168,84,253,65,9,0,253,253,0,179,0,0,0,0,0,0,253,0,0,0,0,0,0,0,253,253,0,0,67,0,0,130,253,0,0,0,253,0,253,0,253,254,0,94,0,0,253,253,202,0
0,0,0,17,0,143,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,239,0,213,0,0,0,0,254,0,120,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,160,0,0,0,0,0,0,0,44,172,0,0,0,0,0,0,0,201,0
0,0,254,15,0,98,19,28,0,0,0,0,164,0,0,0,13,219,0,0,184,0,0,0,54,224,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,237,0,0,0,254,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,32,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0
0,0,91,252,61,252,44,252,0,0,0,0,7,0,244,0,252,236,0,0,0,0,0,252,252,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,113,0,0,0,252,252,13,91,90,0,0,0,0,0,172,0,252,253,252,0,142,0,0,252,0,244,0,0,178,0,0,0,103,0,0,209,25,0,0,253,121,132,0,110,252,0,252,239,99,0,0,0,0,252,220,22,213,47,0,0,0,0,253,252,0,0
0,0,254,254,0,254,254,169,0,0,0,0,0,0,0,0,254,0,0,0,100,0,0,166,254,254,0,0,0,0,0,0,0,0,20,0,74,0,0,0,0,0,0,0,0,0,128,0,233,210,0,0,0,0,0,0,0,0,103,0,8,0,0,0,254,254,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,237,0,69,0,0,0,254,0,0,0,0,0,3,89,0,254,0,0,0,0,0,254,0,254,0
0,0,253,253,4,253,225,253,0,0,0,0,0,0,0,0,253,30,0,0,223,0,0,253,219,253,0,0,0,0,0,0,0,0,65,0,28,0,0,0,0,0,0,0,0,0,208,226,76,85,0,0,0,0,0,0,12,0,218,172,253,0,114,0,76,253,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,253,0,253,13,0,4,253,0,0,0,0,0,33,96,5,253,1,0,0,0,0,253,12,222,0
0,0,138,0,0,0,254,254,0,0,0,0,26,0,0,0,254,159,0,0,254,0,0,254,222,72,72,0,0,0,0,0,0,0,5,0,106,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,0,0,0,0,196,0,254,0,76,0,0,0,0,229,0,0,0,0,239,0,0,0,0,0,0,0,0,0,251,36,101,0,0,30,0,202,254,79,0,0,0,0,0,113,0,17,245,0,0,0,0,0,254,0,250,0
0,0,191,0,0,0,253,253,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,253,127,222,253,0,0,0,77,0,0,0,0,0,253,0,0,0,0,0,180,182,255,0,69,47,253,0,0,240,0,0,0,0,253,0,253,0,253,0,47,0,253,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,81,208,0,47,0,253,0,0,253,0,0,0,0,0,0,253,0,121,253,0,0,253,0,0,253,166,253,1
